side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
OR,1,1,1,4,2,3,0,1,288,0,0,0,0,1,288,0,0
OR,1,1,2,4,2,3,0,2,905,0,0,0,0,2,905,0,0
OR,1,1,0,2,3,3,0,11,3697,0,0,0,0,11,3697,0,0
OR,1,1,0,3,3,3,0,8,1795,0,0,0,0,8,1795,0,0
AND,1,1,0,4,3,3,0,1,194,0,0,0,0,1,194,0,0
OR,1,1,1,4,3,3,0,2,907,0,0,0,0,2,907,0,0
AND,1,1,0,5,3,3,0,1,130,0,0,0,0,1,130,0,0
OR,1,1,3,5,3,3,0,1,1049,0,0,0,0,1,1049,0,0
OR,1,1,0,2,4,3,0,8,2441,0,0,0,0,8,2441,0,0
AND,1,1,0,3,4,3,0,2,77,0,0,0,0,2,77,0,0
OR,1,1,0,3,4,3,0,2,382,0,0,0,0,2,382,0,0
AND,1,1,0,4,4,3,0,3,354,0,0,0,0,3,354,0,0
OR,1,1,0,4,4,3,0,12,4078,0,0,0,0,12,4078,0,0
OR,1,1,1,4,4,3,0,1,350,0,0,0,0,1,350,0,0
AND,1,1,0,5,4,3,0,3,366,0,0,0,0,3,366,0,0
OR,1,1,2,5,4,3,0,1,471,0,0,0,0,1,471,0,0
